NGC_Num,Other names,General Type,Specific Type,Apparent magnitude
1,,Galaxy,Intermediate spiral galaxy,13.65
2,,Galaxy,Spiral galaxy,14.96
3,,Galaxy,Lenticular galaxy,14.2
4,,Galaxy,Lenticular galaxy,16.8
5,,Galaxy,Elliptical galaxy,14.33
6,(Duplicate of NGC 20),Galaxy,Lenticular galaxy,14.04
7,,Galaxy,Barred spiral galaxy,13.47
8,,Star,Double star,15.2/16.5
9,,Galaxy,Barred spiral galaxy,14.5
10,,Galaxy,Spiral galaxy,13
11,,Galaxy,Spiral galaxy,14.5
12,,Galaxy,Intermediate spiral galaxy,14.5
13,,Galaxy,Spiral galaxy,14.2
14,,Galaxy,Irregular galaxy,13.3
15,,Galaxy,Spiral galaxy,14.9
16,,Galaxy,Lenticular galaxy,13
17,Also listed as NGC 34,Galaxy,Spiral galaxy,14
18,,Star,Double star,14
19,,Galaxy,Spiral galaxy,14
20,Also listed as NGC 6,Galaxy,Lenticular galaxy,14.5
21,Also listed as NGC 29,Galaxy,Spiral galaxy,13.9
22,,Galaxy,Spiral galaxy,14.9
23,,Galaxy,Barred spiral galaxy,12.5
24,,Galaxy,Spiral galaxy,12.1
25,,Galaxy,Lenticular galaxy,15.5
26,,Galaxy,Spiral galaxy,13.9
27,,Galaxy,Spiral galaxy,14.5
28,,Galaxy,Elliptical galaxy,13.8
29,(Duplicate of NGC 21),Galaxy,Spiral galaxy,14.5
30,,Star,Double star,14.8/15
31,,Galaxy,Barred spiral galaxy,13.9
32,,Asterism,Asterism,14
33,,Star,Double star,15
34,(Duplicate of NGC 17),Galaxy,Spiral galaxy,14
35,,Galaxy,Barred spiral galaxy,14
36,,Galaxy,Barred spiral galaxy,14.5
37,,Galaxy,Lenticular galaxy,13.7
38,,Galaxy,Spiral galaxy,13.5
39,,Galaxy,Spiral galaxy,14.4
40,Bow-Tie Nebula,Nebula,Planetary nebula,11.7
41,,Galaxy,Spiral galaxy,14.6
42,,Galaxy,Lenticular galaxy,15
43,,Galaxy,Lenticular galaxy,13.9
44,,Star,Double star,14.6
45,,Galaxy,Irregular galaxy,11.2
46,,Star,Star,11.8
47,,Galaxy,Barred spiral galaxy,13
48,,Galaxy,Barred spiral galaxy,15
49,,Galaxy,Lenticular galaxy,15.3
50,,Galaxy,Lenticular galaxy,12
51,,Galaxy,Lenticular galaxy,14.6
52,,Galaxy,Spiral galaxy,14.6
53,,Galaxy,Barred spiral galaxy,12.6
54,,Galaxy,Spiral galaxy,14
55,The Whale Galaxy,Galaxy,Irregular galaxy,8.2
56,,N/A,Nonexistent,N/A
57,,Galaxy,Elliptical galaxy,13.7
58,(Duplicate of NGC 47),Galaxy,Spiral galaxy,13
59,,Galaxy,Lenticular galaxy,13.1
60,,Galaxy,Spiral galaxy,15.4
61,,Galaxy,Interacting galaxies,15
62,,Galaxy,Barred spiral galaxy,14
63,,Galaxy,Spiral galaxy,12.6
64,,Galaxy,Barred spiral galaxy,13.6
65,,Galaxy,Lenticular galaxy,13.9
66,,Galaxy,Barred spiral galaxy,13.5
67,,Galaxy,Elliptical galaxy,15.7
68,,Galaxy,Lenticular galaxy,14.5
69,,Galaxy,Lenticular galaxy,15.7
70,,Galaxy,Spiral galaxy,14.5
71,,Galaxy,Lenticular galaxy,14.8
72,,Galaxy,Barred spiral galaxy,15
73,,Galaxy,Intermediate spiral galaxy,13
74,,Galaxy,Lenticular galaxy,16
75,,Galaxy,Lenticular galaxy,14.8
76,,Galaxy,Lenticular galaxy,14
77,,Galaxy,Lenticular galaxy,14.8
78,,Galaxy,Interacting galaxies,14.5
79,,Galaxy,Elliptical galaxy,14.9
80,,Galaxy,Lenticular galaxy,13.7
81,,Galaxy,Lenticular galaxy,17.7
82,,Star,Star,14.6
83,,Galaxy,Elliptical galaxy,14.2
84,,Star,Star,15.8
85,,Galaxy,Lenticular galaxy,15.7
86,,Galaxy,Lenticular galaxy,14.9
87,,Galaxy,Irregular galaxy,14.5
88,,Galaxy,Spiral galaxy,15.2
89,,Galaxy,Spiral galaxy,14.6
90,,Galaxy,Spiral galaxy,13.7
91,,Star,Star,14.4
92,,Galaxy,Spiral galaxy,14.3
93,,Galaxy,Spiral galaxy,14.7
94,,Galaxy,Lenticular galaxy,15.6
95,,Galaxy,Spiral galaxy,13.4
