,Name,objType
0,170141,Star
1,193680,Star
2,187796,Star
3,257937,Star
4,257498,Star
5,201433,Star
6,162220,Star
7,177940,Star
8,152476,Star
9,149026,Star
10,18242,Star
11,224490,Star
12,202012,Star
13,31996,Star
14,103483,Star
15,148206,Star
16,152276,Star
17,109914,Star
18,39881,Star
19,92763,Star
20,186686,Star
21,64379,Star
22,82901,Star
23,194636,Star
24,222561,Star
25,14028,Star
26,27490,Star
27,84748,Star
28,12021,Star
29,138268,Star
30,12211,Star
31,2051,Star
32,73603,Star
33,136753,Star
34,141850,Star
35,109729,Star
36,120499,Star
37,128609,Star
38,34019,Star
39,220105,Star
40,196094,Star
41,143454,Star
42,39816,Star
43,224960,Star
44,117833,Star
45,107199,Star
46,1967,Star
47,170141,Star
48,193680,Star
49,187796,Star
50,257937,Star
51,257498,Star
52,201433,Star
53,162220,Star
54,177940,Star
55,152476,Star
56,149026,Star
57,18242,Star
58,224490,Star
59,202012,Star
60,31996,Star
61,103483,Star
62,148206,Star
63,152276,Star
64,109914,Star
65,39881,Star
66,92763,Star
67,186686,Star
68,64379,Star
69,82901,Star
70,194636,Star
71,222561,Star
72,14028,Star
73,27490,Star
74,84748,Star
75,12021,Star
76,138268,Star
77,12211,Star
78,2051,Star
79,73603,Star
80,136753,Star
81,141850,Star
82,109729,Star
83,120499,Star
84,128609,Star
85,34019,Star
86,220105,Star
87,196094,Star
88,143454,Star
89,39816,Star
90,224960,Star
91,117833,Star
92,107199,Star
93,1967,Star
94,170141,Star
95,193680,Star
96,187796,Star
97,257937,Star
98,257498,Star
99,201433,Star
100,162220,Star
101,177940,Star
102,152476,Star
103,149026,Star
104,18242,Star
105,224490,Star
106,202012,Star
107,31996,Star
108,103483,Star
109,148206,Star
110,152276,Star
111,109914,Star
112,39881,Star
113,92763,Star
114,186686,Star
115,64379,Star
116,82901,Star
117,194636,Star
118,222561,Star
119,14028,Star
120,27490,Star
121,84748,Star
122,12021,Star
123,138268,Star
124,12211,Star
125,2051,Star
126,73603,Star
127,136753,Star
128,141850,Star
129,109729,Star
130,120499,Star
131,128609,Star
132,34019,Star
133,220105,Star
134,196094,Star
135,143454,Star
136,39816,Star
137,224960,Star
138,117833,Star
139,107199,Star
140,1967,Star
141,170141,Star
142,193680,Star
143,187796,Star
144,257937,Star
145,257498,Star
146,201433,Star
147,162220,Star
148,177940,Star
149,152476,Star
150,149026,Star
151,18242,Star
152,224490,Star
153,202012,Star
154,31996,Star
155,103483,Star
156,148206,Star
157,152276,Star
158,109914,Star
159,39881,Star
160,92763,Star
161,186686,Star
162,64379,Star
163,82901,Star
164,194636,Star
165,222561,Star
166,14028,Star
167,27490,Star
168,84748,Star
169,12021,Star
170,138268,Star
171,12211,Star
172,2051,Star
173,73603,Star
