,Name,objType
0,1,Double star
1,2,Galaxy
2,3,Galaxy
3,4,Galaxy
4,5,Galaxy
5,6,Galaxy
6,7,Galaxy
7,8,Galaxy
8,9,Galaxy
9,10,Galaxy
10,11,Duplicate
11,12,Galaxy
12,13,Galaxy
13,14,Double star
14,15,Galaxy
15,16,Galaxy
16,17,Galaxy
17,18,Galaxy
18,19,Galaxy
19,20,Galaxy
20,21,Galaxy
21,22,Galaxy
22,23,Galaxy
23,24,Double star
24,25,Galaxy
25,26,Duplicate
26,27,Galaxy
27,28,Galaxy
28,29,Galaxy
29,30,Galaxy
30,31,Galaxy
31,32,Galaxy
32,33,Galaxy
33,34,Galaxy
34,35,Galaxy
35,36,Galaxy
36,37,Galaxy
37,38,Galaxy
38,39,Duplicate
39,40,Galaxy
40,41,Galaxy
41,42,Galaxy
42,43,Galaxy
43,44,Duplicate
44,45,Nebula
45,46,Galaxy
46,47,Galaxy
47,48,Galaxy
48,49,Galaxy
49,50,Galaxy
50,51,Galaxy
51,52,Galaxy
52,53,Galaxy
53,54,Double star
54,55,Galaxy
55,56,Galaxy
56,57,Galaxy
57,58,Galaxy
58,59,Reflection nebula
59,60,Galaxy
60,61,Galaxy
61,62,Galaxy
62,63,HII region
63,64,Galaxy
64,65,Galaxy
65,66,Galaxy
66,67,Non-existent
67,68,Non-existent
68,69,Galaxy
69,70,Galaxy
70,71,Star
71,72,Star
72,73,Galaxy
73,74,Galaxy
74,75,Galaxy
75,76,Galaxy
76,77,Galaxy
77,78,Galaxy
78,79,Galaxy
79,80,Galaxy
80,81,Galaxy
81,82,Galaxy
82,83,Galaxy
83,84,Galaxy
84,85,Star
85,86,Galaxy
86,87,Galaxy
87,88,Galaxy
88,89,Duplicate
89,90,Galaxy
90,91,Galaxy
91,92,Duplicate
92,93,Galaxy
93,94,Star
94,95,Galaxy
95,96,Galaxy
96,97,Duplicate
97,98,Galaxy
98,99,Galaxy
99,100,Galaxy
100,101,Galaxy
101,102,Galaxy
102,103,Galaxy
103,104,Double star
104,105,Galaxy
105,106,Duplicate
106,107,Galaxy
107,108,Galaxy
108,109,Galaxy
109,110,Nebula
110,111,Nebula
111,112,Galaxy
112,113,Galaxy
113,114,Galaxy
114,115,Galaxy
115,116,Galaxy
116,117,Duplicate
117,118,Galaxy
118,119,Galaxy
119,120,Galaxy
120,121,Galaxy
121,122,Galaxy
122,123,Galaxy
123,124,Star
124,125,Galaxy
125,126,Galaxy
126,127,Galaxy
127,128,Galaxy
128,129,Galaxy
129,130,Galaxy
130,131,HII region
131,132,HII region
132,133,HII region
133,134,Star
134,135,HII region
135,136,Asterism
136,137,Asterism
137,138,Galaxy
138,139,Asterism
139,140,Asterism
140,141,Galaxy
141,142,HII region
142,143,HII region
143,144,Galaxy
144,145,Galaxy
145,146,Duplicate
146,147,Galaxy
147,148,Galaxy
148,149,Galaxy
149,150,Galaxy
150,151,Nebula
151,152,Nebula
152,153,Nebula
153,154,Galaxy
154,155,Nebula
155,156,Galaxy
156,157,Nebula
157,158,Galaxy
158,159,Galaxy
159,160,Galaxy
160,161,Galaxy
161,162,Galaxy
162,163,Galaxy
163,164,Galaxy
164,165,Duplicate
165,166,Open cluster
166,167,Galaxy
167,168,Galaxy
168,169,Galaxy
169,170,Galaxy
170,171,Galaxy
171,172,Galaxy
172,173,Galaxy
173,174,Galaxy
174,175,Galaxy
175,176,Galaxy
176,177,Galaxy
177,178,Galaxy
178,179,Galaxy
179,180,Galaxy
180,181,Galaxy
181,182,Galaxy
182,183,Galaxy
183,184,Galaxy
184,185,Galaxy
185,186,Galaxy
186,187,Galaxy
187,188,Galaxy
188,189,Galaxy
189,190,Galaxy
190,191,Duplicate
191,192,Galaxy
192,193,Galaxy
193,194,Galaxy
194,195,Galaxy
195,196,Galaxy
196,197,Galaxy
197,198,Galaxy
198,199,Galaxy
199,200,Galaxy
200,201,Galaxy
201,202,Galaxy
202,203,Galaxy
203,204,Galaxy
204,205,Galaxy
205,206,Galaxy
206,207,Galaxy
207,208,Galaxy
208,209,Galaxy
209,210,Galaxy
210,211,Galaxy
211,212,Galaxy
212,213,Galaxy
213,214,Galaxy
214,215,Galaxy
215,216,Galaxy
216,217,Galaxy
217,218,Galaxy
218,219,Galaxy
219,220,Galaxy
220,221,Galaxy
221,222,Galaxy
222,223,Galaxy
223,224,Galaxy
224,225,Galaxy
225,226,Galaxy
226,227,Galaxy
227,228,Duplicate
228,229,Nebula
229,230,Galaxy
230,231,Galaxy
231,232,Galaxy
232,233,Galaxy
233,234,Galaxy
234,235,Galaxy
235,236,Galaxy
236,237,Galaxy
237,238,Galaxy
238,239,Galaxy
239,240,Nebula
240,241,Galaxy
241,242,Double star
242,243,Galaxy
243,244,Galaxy
244,245,Galaxy
245,246,Galaxy
246,247,Galaxy
247,248,Galaxy
248,249,Duplicate
249,250,Galaxy
250,251,Galaxy
251,252,Galaxy
252,253,Galaxy
253,254,Galaxy
254,255,Galaxy
255,256,Galaxy
256,257,Galaxy
257,258,Galaxy
258,259,Galaxy
259,260,Galaxy
260,261,Duplicate
261,262,Galaxy
262,263,Galaxy
263,264,Galaxy
264,265,Galaxy
265,266,Galaxy
266,267,Galaxy
267,268,Galaxy
268,269,Galaxy
269,270,Galaxy
270,271,Galaxy
